题目,A,B,C,D,正确答案
冬季浏览区.jpg,互通式立交,冬季浏览区,机动车行驶,起点,B
机动车行驶.jpg,交叉路口预告,禁止驶入,机动车行驶,施工,C
禁止车辆临时或长时停放.jpg,禁止车辆临时或长时停放,有人看守铁路道口,禁止驶入,解除限制速度,A
终点预告.jpg,十字交叉,终点预告,终点提示,互通式立交,B
限制速度.jpg,机动车行驶,十字交叉,禁止驶入,限制速度,D
互通式立交.jpg,终点提示,终点预告,互通式立交,限制速度,C
十字交叉.jpg,十字交叉,机动车行驶,禁止驶入,施工,A
此路不通.jpg,注意落石,此路不通,解除限制速度,施工,B
禁止通行.jpg,百米牌,互通式立交,交叉路口预告,禁止通行,D
解除限制速度.jpg,百米牌,机动车行驶,解除限制速度,禁止通行,C
交叉路口预告.jpg,交叉路口预告,互通式立交,注意落石,十字交叉,A
干路先行.jpg,交叉路口预告,干路先行,起点,十字交叉,B
注意落石.jpg,冬季浏览区,互通式立交,干路先行,注意落石,D
禁止驶入.jpg,禁止驶入,干路先行,冬季浏览区,人行横道,A
起点.jpg,钓鱼,起点,注意落石,环岛行驶,B
人行横道.jpg,禁止驶入,机动车行驶,人行横道,终点提示,C
施工.jpg,施工,有人看守铁路道口,注意落石,环岛行驶,A
环岛行驶.jpg,禁止驶入,施工,钓鱼,环岛行驶,D
禁止骑自行车下坡.jpg,冬季浏览区,禁止骑自行车下坡,百米牌,机动车行驶,B
连续弯路.jpg,百米牌,钓鱼,冬季浏览区,连续弯路,D
停车让行.jpg,干路先行,停车让行,注意落石,有人看守铁路道口,B
旅游区方向.jpg,旅游区方向,交叉路口预告,有人看守铁路道口,冬季浏览区,A
环形交叉路口.jpg,机动车行驶,有人看守铁路道口,环形交叉路口,终点提示,C
禁止鸣喇叭.jpg,交叉路口预告,冬季浏览区,禁止鸣喇叭,起点,C
道路交通信息.jpg,冬季浏览区,道路交通信息,有人看守铁路道口,人行横道,B
公交线路专用车道.jpg,公交线路专用车道,停车让行,注意落石,钓鱼,A
有人看守铁路道口.jpg,冬季浏览区,钓鱼,冬季浏览区,有人看守铁路道口,D
百米牌.jpg,百米牌,起点,有人看守铁路道口,十字交叉,A
终点提示.jpg,终点提示,百米牌,起点,互通式立交,A
钓鱼.jpg,冬季浏览区,钓鱼,百米牌,起点,B
事故.jpg,施工,事故,注意落石,禁止鸣喇叭,B
县道编号.jpg,县道编号,十字交叉,百米牌,人行横道,A
向左改道.jpg,终点提示,坍方,向左改道,干路先行,C
多雾路段.jpg,冬季浏览区,施工,有人看守铁路道口,多雾路段,D
时间范围.jpg,时间范围,分流,注意落石,禁止鸣喇叭,A
车距确认.jpg,有人看守铁路道口,终点提示,车距确认,人行横道,C
道路施工.jpg,道路施工,分流,坍方,干路先行,A
免费停车场.jpg,解除限制速度,车距确认,坍方,免费停车场,D
合流.jpg,冬季浏览区,合流,解除限制速度,干路先行,B
国道编号.jpg,十字交叉,施工,国道编号,县道编号,C
学校.jpg,学校,有人看守铁路道口,车距确认,环岛行驶,A
海关.jpg,百米牌,海关,终点提示,环岛行驶,B
车辆慢行.jpg,机动车行驶,分流,禁止鸣喇叭,车辆慢行,D
除公共汽车外.jpg,除公共汽车外,解除限制速度,冬季浏览区,人行横道,A
分流.jpg,环岛行驶,注意落石,分流,禁止鸣喇叭,C
向右行驶.jpg,百米牌,解除限制速度,车距确认,向右行驶,D
坍方.jpg,坍方,有人看守铁路道口,解除限制速度,人行横道,A
收费停车场.jpg,坍方,收费停车场,冬季浏览区,终点提示,B
省道编号.jpg,县道编号,机动车行驶,省道编号,人行横道,C
连续下坡.jpg,连续下坡,十字交叉,注意落石,百米牌,A
