               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.055588,            0.015714,            0.056877,            0.013857,              0.2873,            0.017699,           0.0079587,            0.038176,           0.0096651,            0.065665,             0.07001,           0.0033322,           0.0033322
                   1,             0.03583,           0.0099263,            0.052935,             0.12911,             0.22923,            0.023755,            0.012646,            0.033702,           0.0071812,            0.064137,            0.039878,           0.0065336,           0.0065336
                   2,            0.033113,           0.0079083,            0.051647,             0.71469,            0.048751,            0.042878,            0.023606,            0.029785,           0.0060761,            0.062379,           0.0096139,            0.009603,            0.009603
                   3,            0.030509,           0.0069996,            0.049582,             0.68071,            0.082297,            0.062611,            0.034967,            0.029288,           0.0053363,            0.059328,            0.009406,            0.009406,            0.009406
                   4,            0.027877,           0.0065221,            0.047091,             0.66837,              0.1207,            0.082993,            0.046342,            0.027141,           0.0051665,            0.056358,            0.009406,            0.009406,            0.009406
                   5,            0.026569,           0.0063682,            0.044338,              0.5927,             0.19011,             0.10482,            0.061355,            0.027037,           0.0050267,            0.053504,            0.009208,            0.009208,            0.009208
                   6,            0.025871,           0.0061877,            0.042817,             0.53383,             0.23631,               0.134,            0.082261,            0.025141,           0.0047255,             0.05083,             0.00901,             0.00901,             0.00901
                   7,            0.024898,           0.0058225,             0.04003,             0.56787,             0.26639,             0.15478,            0.095655,            0.025461,           0.0047258,            0.048797,            0.008812,            0.008812,            0.008812
                   8,            0.024493,           0.0058165,             0.03846,             0.49295,             0.28656,             0.18421,             0.11696,            0.025583,            0.004554,            0.047197,            0.008614,            0.008614,            0.008614
                   9,            0.024388,           0.0056978,            0.036683,             0.59189,               0.271,             0.20328,             0.12624,            0.025225,           0.0045838,            0.045351,            0.008416,            0.008416,            0.008416
                  10,            0.024001,           0.0056309,            0.035559,             0.58707,             0.30196,              0.2259,              0.1414,            0.024559,           0.0045663,            0.043483,            0.008218,            0.008218,            0.008218
                  11,            0.023935,           0.0055503,            0.034297,              0.5794,             0.30399,             0.23377,             0.14795,            0.024872,           0.0045088,            0.042169,             0.00802,             0.00802,             0.00802
                  12,            0.023424,           0.0056233,             0.03316,             0.58037,             0.31112,             0.24903,             0.15705,            0.024098,           0.0044854,             0.04062,            0.007822,            0.007822,            0.007822
                  13,            0.023495,           0.0055824,              0.0326,             0.53204,              0.3396,             0.24617,             0.15318,            0.024412,           0.0044561,            0.039631,            0.007624,            0.007624,            0.007624
